project_id,institution_name,institution_type,project_domain,team_size,avg_team_experience,innovation_score,funding_amount_usd,mentorship_support,incubation_support,market_readiness_level,competition_awards,business_model_score,technology_maturity,year,success_label
P0001,Institution_39,Non-technical,AgriTech,3,1.35,0.75,48336.75,1,1,3,3,0.86,4,2023,1
P0002,Institution_29,Technical,FinTech,4,1.57,0.38,30601.34,0,0,5,0,0.39,5,2023,0
P0003,Institution_15,Non-technical,AgriTech,3,2.19,0.61,37712.58,1,1,1,0,0.38,2,2019,1
P0004,Institution_8,Private,GreenTech,7,0.72,0.98,46881.0,1,1,5,1,0.69,5,2021,1
P0005,Institution_21,Public,HealthTech,7,2.64,0.33,29988.37,0,0,4,2,0.85,2,2020,0
P0006,Institution_39,Technical,GreenTech,6,3.94,0.52,1591.06,1,0,3,3,0.4,2,2022,0
P0007,Institution_19,Public,EdTech,6,1.76,0.52,2680.29,0,0,1,2,0.95,5,2023,0
P0008,Institution_23,Technical,EdTech,6,3.13,0.74,35414.58,1,0,3,4,0.94,4,2023,1
P0009,Institution_11,Private,FinTech,2,2.25,0.37,14675.17,0,0,3,4,0.36,3,2021,0
P0010,Institution_11,Technical,GreenTech,5,0.95,0.74,29389.61,0,1,1,2,0.41,5,2021,0
P0011,Institution_24,Private,FinTech,7,2.54,0.37,10911.58,0,0,3,1,0.76,4,2019,0
P0012,Institution_36,Technical,FinTech,3,1.55,0.37,14242.19,1,1,3,1,0.96,2,2019,0
P0013,Institution_40,Private,EdTech,3,0.62,0.81,25727.41,1,0,2,1,0.77,1,2019,0
P0014,Institution_24,Private,FinTech,3,2.72,0.53,48802.9,0,1,2,3,0.56,3,2022,1
P0015,Institution_3,Non-technical,EdTech,3,3.51,0.98,31197.25,1,1,1,4,0.34,4,2019,1
P0016,Institution_22,Private,HealthTech,6,1.71,0.33,46871.26,1,0,1,4,0.57,3,2023,0
P0017,Institution_2,Non-technical,GreenTech,3,1.87,0.61,48009.61,0,0,3,4,0.69,1,2019,0
P0018,Institution_24,Private,FinTech,5,3.62,0.38,11197.39,0,0,5,3,0.46,1,2022,0
P0019,Institution_30,Public,EdTech,6,3.35,0.55,16248.49,0,0,1,4,0.61,1,2019,0
P0020,Institution_38,Private,AgriTech,3,3.0,1.0,38729.62,0,0,3,2,0.3,5,2019,1
P0021,Institution_2,Public,FinTech,2,1.37,0.92,43471.44,1,0,5,0,0.56,3,2023,1
P0022,Institution_21,Public,HealthTech,4,3.69,0.33,26442.11,1,1,2,3,0.27,5,2023,0
P0023,Institution_33,Private,HealthTech,4,1.04,0.69,49668.08,1,1,1,0,0.24,1,2023,1
P0024,Institution_12,Public,AgriTech,4,2.69,0.75,1567.04,1,1,3,2,0.89,4,2019,1
P0025,Institution_22,Non-technical,EdTech,6,0.6,0.45,15680.04,1,1,2,1,0.36,1,2023,0
P0026,Institution_25,Technical,FinTech,3,2.75,0.4,31534.93,1,1,4,1,0.66,5,2021,1
P0027,Institution_27,Private,EdTech,7,1.47,0.93,23995.21,0,0,2,1,0.32,1,2020,0
P0028,Institution_28,Public,HealthTech,7,2.07,0.98,6713.55,1,0,3,3,0.41,1,2020,0
P0029,Institution_16,Private,EdTech,7,1.71,0.99,19021.57,1,1,5,1,0.49,5,2023,1
P0030,Institution_15,Non-technical,HealthTech,6,1.1,0.85,2246.91,1,1,4,3,0.31,5,2022,1
P0031,Institution_3,Private,EdTech,5,2.68,0.76,32494.56,0,0,4,3,0.24,4,2023,0
P0032,Institution_37,Private,AgriTech,2,3.59,0.54,44744.38,0,0,4,0,0.9,5,2023,1
P0033,Institution_7,Public,GreenTech,2,3.86,0.42,44358.83,1,0,1,1,0.21,4,2019,0
P0034,Institution_21,Non-technical,AgriTech,4,1.17,0.36,35277.68,0,0,3,4,0.25,2,2022,0
P0035,Institution_9,Technical,AgriTech,4,3.01,0.79,23822.74,0,1,4,1,0.84,2,2023,1
P0036,Institution_39,Technical,GreenTech,7,2.83,0.85,26089.55,1,1,2,1,0.43,5,2021,1
P0037,Institution_18,Public,GreenTech,7,1.7,0.88,7709.02,1,0,5,1,0.78,1,2020,0
P0038,Institution_4,Private,FinTech,4,0.57,0.94,17709.84,1,0,3,4,0.32,3,2021,0
P0039,Institution_25,Public,FinTech,3,2.91,0.92,10198.68,0,1,2,4,0.39,1,2021,0
P0040,Institution_14,Public,AgriTech,5,3.81,1.0,41238.81,0,1,1,3,0.66,5,2021,1
P0041,Institution_9,Public,AgriTech,5,2.71,0.47,45822.94,1,1,4,4,0.99,4,2022,1
P0042,Institution_26,Private,HealthTech,5,2.02,0.83,27309.24,0,0,2,3,0.26,1,2022,0
P0043,Institution_2,Non-technical,HealthTech,5,2.34,0.71,36660.44,0,1,3,0,0.52,2,2022,1
P0044,Institution_20,Public,FinTech,4,1.2,0.48,6951.77,0,0,2,3,0.23,5,2020,0
P0045,Institution_28,Private,FinTech,2,3.13,0.99,30818.2,1,0,1,1,0.36,1,2019,0
P0046,Institution_7,Non-technical,HealthTech,4,3.11,0.93,35436.76,1,0,5,2,0.93,1,2023,1
P0047,Institution_8,Public,HealthTech,5,1.01,0.39,23185.64,1,1,4,2,0.28,4,2023,0
P0048,Institution_35,Technical,EdTech,4,3.57,0.32,12920.38,1,1,3,1,0.89,4,2019,1
P0049,Institution_14,Non-technical,EdTech,5,1.44,0.78,43991.35,1,0,4,3,0.34,4,2023,1
P0050,Institution_17,Public,HealthTech,6,3.94,0.72,37402.53,0,1,4,1,0.89,3,2021,1
P0051,Institution_36,Non-technical,EdTech,7,1.84,0.96,45093.01,0,0,4,4,0.63,5,2020,1
P0052,Institution_40,Non-technical,GreenTech,2,1.12,0.46,41101.73,0,1,2,3,0.9,5,2023,1
P0053,Institution_4,Non-technical,FinTech,6,1.73,0.36,49528.35,0,0,2,1,0.32,2,2020,0
P0054,Institution_2,Non-technical,FinTech,3,2.04,0.48,10416.46,0,0,5,4,0.81,2,2019,0
P0055,Institution_6,Non-technical,HealthTech,4,0.74,0.31,5250.64,0,1,1,4,0.74,5,2023,0
P0056,Institution_4,Non-technical,AgriTech,3,2.52,0.33,17513.14,1,1,3,3,0.63,1,2020,0
P0057,Institution_29,Public,HealthTech,4,2.59,0.94,7321.2,1,0,2,0,0.85,5,2021,1
P0058,Institution_18,Technical,EdTech,7,3.09,0.55,26633.38,0,1,4,0,0.72,3,2021,0
P0059,Institution_26,Private,AgriTech,6,0.6,0.59,32018.42,1,0,1,4,0.9,2,2019,0
P0060,Institution_34,Non-technical,EdTech,7,2.39,0.31,29336.14,0,0,3,0,0.5,2,2022,0
P0061,Institution_10,Private,GreenTech,5,0.69,0.49,13702.77,0,0,3,4,0.67,2,2023,0
P0062,Institution_36,Public,EdTech,7,2.95,0.86,45532.38,1,0,3,0,0.9,5,2021,1
P0063,Institution_14,Non-technical,GreenTech,7,0.7,0.73,2037.45,1,0,3,4,0.37,2,2021,0
P0064,Institution_31,Technical,GreenTech,5,3.69,0.83,18052.65,0,0,5,4,0.59,2,2019,0
P0065,Institution_15,Private,EdTech,4,2.96,0.61,36230.63,1,0,3,4,0.97,5,2021,1
P0066,Institution_8,Non-technical,EdTech,5,2.28,0.52,38579.52,0,0,1,4,0.58,1,2023,0
P0067,Institution_14,Public,GreenTech,6,2.05,0.64,21389.81,0,1,2,2,0.4,2,2019,0
P0068,Institution_23,Technical,AgriTech,7,0.96,0.53,1828.58,0,1,1,0,0.48,2,2020,0
P0069,Institution_40,Private,GreenTech,5,1.52,0.89,31284.14,0,0,4,4,0.91,2,2019,1
P0070,Institution_21,Private,FinTech,7,3.54,0.51,4091.64,0,0,5,1,0.96,3,2023,0
